Outlet Name,Outlet GSTIN Code,Invoice No,Invoice Date,Taxable Line Amt,SGST_Tax_Rate,SGST_Tax_Value,CGST_Tax_Rate,CGST_Tax_Value,Cess_Tax_Rate,Cess_Tax_Value,Total Tax Amount,Net Amount
ROYAL TRADERS,21ACTPS8275J1ZU,580218003844,10/24/2018,45.72,14,6.4,14,6.4,12,5.49,18.29,64.01
ROYAL TRADERS,21ACTPS8275J1ZU,580218003844,10/24/2018,45.72,14,6.4,14,6.4,12,5.49,18.29,64.01
ROYAL TRADERS,21ACTPS8275J1ZU,580218003844,10/24/2018,46.58,6,2.8,6,2.8,0,0,5.6,52.18
ROYAL TRADERS,21ACTPS8275J1ZU,580218003844,10/24/2018,77.64,6,4.66,6,4.66,0,0,9.32,86.96
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003920,10/26/2018,194.8,14,27.27,14,27.27,12,23.38,77.92,272.72
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003920,10/26/2018,194.8,14,27.27,14,27.27,12,23.38,77.92,272.72
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003920,10/26/2018,467.54,14,65.46,14,65.46,12,56.1,187.02,654.56
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003920,10/26/2018,467.54,14,65.46,14,65.46,12,56.1,187.02,654.56
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003920,10/26/2018,350.65,14,49.09,14,49.09,12,42.08,140.26,490.91
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003920,10/26/2018,175.32,14,24.55,14,24.55,12,21.04,70.14,245.46
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003920,10/26/2018,215.42,9,19.39,9,19.39,0,0,38.78,254.2
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003920,10/26/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
SHREE SAI VANDAR,21AWCPS4200L1ZT,580218003920,10/26/2018,182.86,14,25.6,14,25.6,12,21.94,73.14,256
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003932,10/26/2018,0,14,0,14,0,12,0,0,0
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003932,10/26/2018,80.42,14,11.26,14,11.26,12,9.65,32.17,112.59
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003933,10/26/2018,0,14,0,14,0,12,0,0,0
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003933,10/26/2018,126.64,14,17.73,14,17.73,12,15.2,50.66,177.3
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003934,10/26/2018,0,14,0,14,0,12,0,0,0
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003934,10/26/2018,233.88,14,32.74,14,32.74,12,28.07,93.55,327.43
ROYAL TRADERS,21ACTPS8275J1ZU,580218003961,10/26/2018,389.61,14,54.55,14,54.55,12,46.75,155.85,545.46
ROYAL TRADERS,21ACTPS8275J1ZU,580218003961,10/26/2018,389.61,14,54.55,14,54.55,12,46.75,155.85,545.46
ROYAL TRADERS,21ACTPS8275J1ZU,580218003980,10/27/2018,389.61,14,54.55,14,54.55,12,46.75,155.85,545.46
ROYAL TRADERS,21ACTPS8275J1ZU,580218003980,10/27/2018,389.61,14,54.55,14,54.55,12,46.75,155.85,545.46
ROYAL TRADERS,21ACTPS8275J1ZU,580218003980,10/27/2018,467.54,14,65.46,14,65.46,12,56.1,187.02,654.56
ROYAL TRADERS,21ACTPS8275J1ZU,580218003980,10/27/2018,467.54,14,65.46,14,65.46,12,56.1,187.02,654.56
ROYAL TRADERS,21ACTPS8275J1ZU,580218003980,10/27/2018,226.96,14,31.77,14,31.77,12,27.24,90.78,317.74
ROYAL TRADERS,21ACTPS8275J1ZU,580218003980,10/27/2018,226.96,14,31.77,14,31.77,12,27.24,90.78,317.74
ROYAL TRADERS,21ACTPS8275J1ZU,580218003980,10/27/2018,311.69,14,43.64,14,43.64,12,37.4,124.68,436.37
ROYAL TRADERS,21ACTPS8275J1ZU,580218003980,10/27/2018,311.69,14,43.64,14,43.64,12,37.4,124.68,436.37
ROYAL TRADERS,21ACTPS8275J1ZU,580218003980,10/27/2018,301.32,9,27.12,9,27.12,0,0,54.24,355.56
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003982,10/27/2018,389.61,14,54.55,14,54.55,12,46.75,155.85,545.46
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003982,10/27/2018,389.61,14,54.55,14,54.55,12,46.75,155.85,545.46
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003982,10/27/2018,467.54,14,65.46,14,65.46,12,56.1,187.02,654.56
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003982,10/27/2018,467.54,14,65.46,14,65.46,12,56.1,187.02,654.56
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003982,10/27/2018,226.96,14,31.77,14,31.77,12,27.24,90.78,317.74
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003982,10/27/2018,226.96,14,31.77,14,31.77,12,27.24,90.78,317.74
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003982,10/27/2018,155.85,14,21.82,14,21.82,12,18.7,62.34,218.19
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003982,10/27/2018,155.85,14,21.82,14,21.82,12,18.7,62.34,218.19
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218003982,10/27/2018,150.66,9,13.56,9,13.56,0,0,27.12,177.78
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,45.72,14,6.4,14,6.4,12,5.49,18.29,64.01
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,107.71,9,9.69,9,9.69,0,0,19.38,127.09
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,45.72,14,6.4,14,6.4,12,5.49,18.29,64.01
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,113.48,14,15.89,14,15.89,12,13.62,45.4,158.88
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,113.48,14,15.89,14,15.89,12,13.62,45.4,158.88
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,155.85,14,21.82,14,21.82,12,18.7,62.34,218.19
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,155.85,14,21.82,14,21.82,12,18.7,62.34,218.19
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,75.33,9,6.78,9,6.78,0,0,13.56,88.89
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,265.49,6,15.93,6,15.93,0,0,31.86,297.35
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,97.4,6,5.84,6,5.84,0,0,11.68,109.08
ROYAL TRADERS,21ACTPS8275J1ZU,580218004012,10/30/2018,93.17,6,5.59,6,5.59,0,0,11.18,104.35
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218004027,10/30/2018,389.61,14,54.55,14,54.55,12,46.75,155.85,545.46
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218004027,10/30/2018,389.61,14,54.55,14,54.55,12,46.75,155.85,545.46
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218004027,10/30/2018,548.58,14,76.8,14,76.8,12,65.83,219.43,768.01
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218004027,10/30/2018,548.58,14,76.8,14,76.8,12,65.83,219.43,768.01
DEEP FOOD CORNER,21AVIPD7702M1ZP,580218004027,10/30/2018,602.64,9,54.24,9,54.24,0,0,108.48,711.12
SWEETY,21AARPD9582H1ZG,580318002324,10/10/2018,38.96,14,5.45,14,5.45,12,4.68,15.58,54.54
SWEETY,21AARPD9582H1ZG,580318002324,10/10/2018,38.96,14,5.45,14,5.45,12,4.68,15.58,54.54
SWEETY,21AARPD9582H1ZG,580318002324,10/10/2018,22.86,14,3.2,14,3.2,12,2.74,9.14,32
SWEETY,21AARPD9582H1ZG,580318002324,10/10/2018,45.72,14,6.4,14,6.4,12,5.49,18.29,64.01
SWEETY,21AARPD9582H1ZG,580318002324,10/10/2018,45.72,14,6.4,14,6.4,12,5.49,18.29,64.01
SWEETY,21AARPD9582H1ZG,580318002324,10/10/2018,22.86,14,3.2,14,3.2,12,2.74,9.14,32
SWEETY,21AARPD9582H1ZG,580318002324,10/10/2018,25.97,14,3.64,14,3.64,12,3.12,10.4,36.37
SWEETY,21AARPD9582H1ZG,580318002324,10/10/2018,12.56,9,1.13,9,1.13,0,0,2.26,14.82
SWEETY,21AARPD9582H1ZG,580318002324,10/10/2018,363.2,9,32.69,9,32.69,0,0,65.38,428.58
SWEETY,21AARPD9582H1ZG,580318002324,10/10/2018,70.71,6,4.24,6,4.24,0,0,8.48,79.19
SWEETY,21AARPD9582H1ZG,580318002324,10/10/2018,66.37,6,3.98,6,3.98,0,0,7.96,74.33
SWEETY,21AARPD9582H1ZG,580318002324,10/10/2018,30.03,6,1.8,6,1.8,0,0,3.6,33.63
SWEETY,21AARPD9582H1ZG,580318002324,10/10/2018,0,9,0,9,0,0,0,0,0
DEEP FOOD CORNER,21AVIPD7702M1ZP,580318002440,10/15/2018,1858.76,14,260.23,14,260.23,12,223.05,743.51,2602.27
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,115.56,9,10.4,9,10.4,0,0,20.8,136.36
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,221.06,14,30.95,14,30.95,12,26.53,88.43,309.49
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,276.34,14,38.69,14,38.69,12,33.16,110.54,386.88
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,107.71,9,9.69,9,9.69,0,0,19.38,127.09
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,45.72,14,6.4,14,6.4,12,5.49,18.29,64.01
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,45.72,14,6.4,14,6.4,12,5.49,18.29,64.01
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,45.72,14,6.4,14,6.4,12,5.49,18.29,64.01
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,486.34,6,29.18,6,29.18,0,0,58.36,544.7
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,752.43,6,45.15,6,45.15,0,0,90.3,842.73
ROYAL TRADERS,21ACTPS8275J1ZU,580318002517,10/19/2018,46.58,6,2.8,6,2.8,0,0,5.6,52.18
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,97.4,14,13.64,14,13.64,12,11.69,38.97,136.37
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,115.56,9,10.4,9,10.4,0,0,20.8,136.36
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,116.88,14,16.36,14,16.36,12,14.03,46.75,163.63
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,165.8,14,23.21,14,23.21,12,19.9,66.32,232.12
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,165.8,14,23.21,14,23.21,12,19.9,66.32,232.12
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,165.8,14,23.21,14,23.21,12,19.9,66.32,232.12
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,107.71,9,9.69,9,9.69,0,0,19.38,127.09
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,91.43,14,12.8,14,12.8,12,10.97,36.57,128
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,37.67,9,3.39,9,3.39,0,0,6.78,44.45
SHREE SAI VANDAR,21AWCPS4200L1ZT,580318002522,10/19/2018,46.58,6,2.8,6,2.8,0,0,5.6,52.18
SHREE SAI VANDAR,21AWCPS4200L1ZT,580418003940,10/15/2018,77.92,14,10.91,14,10.91,12,9.35,31.17,109.09
SHREE SAI VANDAR,21AWCPS4200L1ZT,580418003940,10/15/2018,38.96,14,5.45,14,5.45,12,4.68,15.58,54.54
SHREE SAI VANDAR,21AWCPS4200L1ZT,580418003940,10/15/2018,38.96,14,5.45,14,5.45,12,4.68,15.58,54.54
SHREE SAI VANDAR,21AWCPS4200L1ZT,580418003940,10/15/2018,168.57,14,23.6,14,23.6,12,20.23,67.43,236
SHREE SAI VANDAR,21AWCPS4200L1ZT,580418003940,10/15/2018,168.57,14,23.6,14,23.6,12,20.23,67.43,236
SHREE SAI VANDAR,21AWCPS4200L1ZT,580418003940,10/15/2018,363.2,9,32.69,9,32.69,0,0,65.38,428.58
SHREE SAI VANDAR,21AWCPS4200L1ZT,580418003940,10/15/2018,46.58,6,2.8,6,2.8,0,0,5.6,52.18
SHREE SAI VANDAR,21AWCPS4200L1ZT,580418003940,10/15/2018,0,9,0,9,0,0,0,0,0
CUTTACK CLUB--,21AABCC7150M1ZT,580418003952,10/15/2018,2528.61,14,354.01,14,354.01,12,303.43,1011.45,3540.06
CUTTACK CLUB--,21AABCC7150M1ZT,580418003952,10/15/2018,2528.61,14,354.01,14,354.01,12,303.43,1011.45,3540.06
CUTTACK CLUB--,21AABCC7150M1ZT,580418003952,10/15/2018,3013.2,9,271.19,9,271.19,0,0,542.38,3555.58
DEEP FOOD CORNER,21AVIPD7702M1ZP,580418003967,10/16/2018,371.75,14,52.05,14,52.05,12,44.61,148.71,520.46
DEEP FOOD CORNER,21AVIPD7702M1ZP,580418003967,10/16/2018,371.75,14,52.05,14,52.05,12,44.61,148.71,520.46
DEEP FOOD CORNER,21AVIPD7702M1ZP,580418003967,10/16/2018,842.87,14,118,14,118,12,101.14,337.14,1180.01
DEEP FOOD CORNER,21AVIPD7702M1ZP,580418003967,10/16/2018,842.87,14,118,14,118,12,101.14,337.14,1180.01
DEEP FOOD CORNER,21AVIPD7702M1ZP,580418003967,10/16/2018,1816,9,163.44,9,163.44,0,0,326.88,2142.88
DEEP FOOD CORNER,21AVIPD7702M1ZP,580418003967,10/16/2018,486.34,6,29.18,6,29.18,0,0,58.36,544.7
DEEP FOOD CORNER,21AVIPD7702M1ZP,580418003967,10/16/2018,0,9,0,9,0,0,0,0,0
